Date and Time of initial call,Date and time of Ranger response,Borough,Property,Location,Species Description,Call Source,Species Status,Animal Condition,Duration of Response,Age,Animal Class,311SR Number,Final Ranger Action,# of Animals,PEP Response,Animal Monitored,Rehabilitator,Hours spent monitoring,Police Response,ESU Response,ACC Intake Number
08/02/2018 04:08:00 PM,08/02/2018 04:29:00 PM,Staten Island,Midland Beach,"Responded at Midland Ave and Father Capadonno Blvd boardwalk entrance, near picnic area.",Herring Gull,Employee,Native,Unhealthy,0.25,Juvenile,Birds,1-1-1599033774,ACC,1,true,false,,,false,false,36851
08/02/2018 03:40:00 PM,08/02/2018 03:45:00 PM,Manhattan,James Finley Walk,East 68th York Avenue not far from East River,Peregrine Falcon,Other,Native,Injured,1.5,Juvenile,Raptors,1-1-1597160312,Rehabilitator,1,false,false,Wildbird Fund,,false,false,
08/02/2018 03:40:00 PM,08/02/2018 03:40:00 PM,Manhattan,Central Park,In the grass between Cherry Hill fountain and the lakeside,Raccoon,"Conservancies/""Friends of"" Groups",Native,Unhealthy,1,Juvenile,Small Mammals-RVS,1-1-159765313,ACC,1,false,false,,,false,false,36849
08/02/2018 12:00:00 AM,08/02/2018 11:00:00 AM,Bronx,Crotona Park,Bathgate Playground,Red-Tailed Hawk,Central,Native,Unhealthy,4,Juvenile,Raptors,1-1-1597160311,Rehabilitator,1,false,false,Wild Bird Fund,,false,false,
08/02/2018 08:00:00 AM,08/02/2018 09:25:00 AM,Manhattan,Central Park,Cherry Hill westside near crossover/joggers path and West Drive. West 72nd and CPW,Raccoon,"Conservancies/""Friends of"" Groups",Native,Unhealthy,1.5,Adult,Small Mammals-RVS,1-1-1593846720,ACC,1,false,false,,,false,false,36786
08/02/2018 11:00:00 AM,08/02/2018 11:05:00 AM,Manhattan,Central Park,Entrance of 90th/5th ave bridal path,Raccoon,"Conservancies/""Friends of"" Groups",Native,N/A,0.5,Adult,Small Mammals-RVS,,Unfounded,1,false,false,,,false,false,
08/01/2018 08:00:00 PM,08/02/2018 09:50:00 AM,Manhattan,Central Park,Playground at E96th and 5th ave,Raccoon,"Conservancies/""Friends of"" Groups",Native,N/A,0.5,Adult,Small Mammals-RVS,1-1-1598586559,Unfounded,1,false,false,,,false,false,
08/02/2018 12:00:00 AM,08/02/2018 12:30:00 PM,Manhattan,Central Park,Chess & Checkers House,Raccoon,"Conservancies/""Friends of"" Groups",Native,Unhealthy,1,Adult,Small Mammals-RVS,,Monitored Animal,1,false,true,,1,false,false,
07/31/2018 10:00:00 AM,07/31/2018 11:15:00 AM,Queens,Forest Park,Giovanelli Playground,raccoon,Central,Native,Unhealthy,0.25,Juvenile,Small Mammals-RVS,1-1-592-927-621,ACC,1,false,false,,,false,false,44138
08/01/2018 02:40:00 PM,08/01/2018 03:35:00 PM,Bronx,Ferry Point Park,Found underneath white stone bridge,Kestrel,Public,Native,Unhealthy,1.5,Adult,Raptors,1-1-1592912581,Rehabilitator,1,false,false,Bobby Horvath,,false,false,
08/01/2018 02:45:00 PM,08/01/2018 04:20:00 PM,Manhattan,Central Park,Ramble woodlands not far from the Central Park Conservancy maintenance shed. Nearest cross street is East 79th and 5th Ave / East Drive,Raccoon,"Conservancies/""Friends of"" Groups",Native,Unhealthy,1.75,Adult,Small Mammals-RVS,1-1-1596492150,ACC,1,false,false,,,false,false,36723
07/20/2018 07:00:00 PM,07/20/2018 07:00:00 PM,Manhattan,Central Park,The Lake at the Ramble Oven,Raccoon,"Conservancies/""Friends of"" Groups",Native,DOA,0,Adult,Small Mammals-RVS,,Relocated/Condition Corrected,1,false,false,,,false,false,
08/01/2018 10:45:00 AM,08/01/2018 10:45:00 AM,Manhattan,Central Park,Ramble at the cave,Raccoon,"Conservancies/""Friends of"" Groups",Native,DOA,0,Adult,Small Mammals-RVS,,Relocated/Condition Corrected,1,false,false,,,false,false,
08/01/2018 08:00:00 AM,08/01/2018 10:30:00 AM,Manhattan,Central Park,The Ramble. In the woodlands close to the rustic shelter. Closest cross street will be West 75th and Central Park West / Westdrive,Raccoon,"Conservancies/""Friends of"" Groups",Native,Unhealthy,2.5,Juvenile,Small Mammals-RVS,1-1-1595450043,ACC,1,false,false,,,false,false,36671
07/31/2018 08:00:00 PM,08/01/2018 09:30:00 AM,Manhattan,Central Park,Loeb Boathouse,Raccoon,Other,Native,DOA,0.5,Juvenile,Small Mammals-RVS,,Relocated/Condition Corrected,1,false,false,,,false,false,
08/01/2018 08:00:00 AM,08/01/2018 10:15:00 AM,Manhattan,Central Park,"Ramble. In the woodlands not far from the Loeb Boathouse. Nearest cross street would be East 72nd, East Drive.",Raccoon,"Conservancies/""Friends of"" Groups",Native,Unhealthy,2.5,Adult,Small Mammals-RVS,1-1-159450042,ACC,1,false,false,,,false,false,36670
07/21/2018 04:30:00 PM,07/21/2018 04:45:00 PM,Manhattan,Central Park,Huddlestone Arch at the waterfall,Raccoon,"Conservancies/""Friends of"" Groups",Native,DOA,1.25,Adult,Small Mammals-RVS,,Relocated/Condition Corrected,2,false,false,,,false,false,
